-0.500000 0.000000
-0.499416 -0.004260
-0.497666 -0.008429
-0.494753 -0.012501
-0.490685 -0.016471
-0.485471 -0.020330
-0.479123 -0.024071
-0.471656 -0.027683
-0.463087 -0.031156
-0.453437 -0.034479
-0.442728 -0.037641
-0.430985 -0.040631
-0.418235 -0.043437
-0.404508 -0.046049
-0.389837 -0.048457
-0.374255 -0.050651
-0.357799 -0.052625
-0.340508 -0.054372
-0.322421 -0.055886
-0.303581 -0.057164
-0.284032 -0.058205
-0.263820 -0.059008
-0.242992 -0.059576
-0.221596 -0.059910
-0.199682 -0.060017
-0.177302 -0.059903
-0.154508 -0.059575
-0.131354 -0.059042
-0.107892 -0.058314
-0.084178 -0.057403
-0.060268 -0.056320
-0.036217 -0.055077
-0.012082 -0.053687
0.012082 -0.052162
0.036217 -0.050516
0.060268 -0.048762
0.084179 -0.046912
0.107892 -0.044980
0.131354 -0.042978
0.154509 -0.040917
0.177303 -0.038811
0.199682 -0.036670
0.221596 -0.034506
0.242992 -0.032329
0.263820 -0.030152
0.284032 -0.027983
0.303581 -0.025834
0.322421 -0.023714
0.340508 -0.021635
0.357800 -0.019605
0.374255 -0.017635
0.389837 -0.015735
0.404509 -0.013914
0.418235 -0.012182
0.430985 -0.010549
0.442728 -0.009022
0.453437 -0.007611
0.463087 -0.006324
0.471656 -0.005169
0.479123 -0.004152
0.485471 -0.003280
0.490685 -0.002560
0.494753 -0.001994
0.497666 -0.001587
0.499416 -0.001342
0.5050000 0.000000
-0.500000 0.000000
-0.499416 0.004260
-0.497666 0.008429
-0.494753 0.012501
-0.490685 0.016471
-0.485471 0.020330
-0.479123 0.024071
-0.471656 0.027683
-0.463087 0.031156
-0.453437 0.034479
-0.442728 0.037641
-0.430985 0.040631
-0.418235 0.043437
-0.404508 0.046049
-0.389837 0.048457
-0.374255 0.050651
-0.357799 0.052625
-0.340508 0.054372
-0.322421 0.055886
-0.303581 0.057164
-0.284032 0.058205
-0.263820 0.059008
-0.242992 0.059576
-0.221596 0.059910
-0.199682 0.060017
-0.177302 0.059903
-0.154508 0.059575
-0.131354 0.059042
-0.107892 0.058314
-0.084178 0.057403
-0.060268 0.056320
-0.036217 0.055077
-0.012082 0.053687
0.012082 0.052162
0.036217 0.050516
0.060268 0.048762
0.084179 0.046912
0.107892 0.044980
0.131354 0.042978
0.154509 0.040917
0.177303 0.038811
0.199682 0.036670
0.221596 0.034506
0.242992 0.032329
0.263820 0.030152
0.284032 0.027983
0.303581 0.025834
0.322421 0.023714
0.340508 0.021635
0.357800 0.019605
0.374255 0.017635
0.389837 0.015735
0.404509 0.013914
0.418235 0.012182
0.430985 0.010549
0.442728 0.009022
0.453437 0.007611
0.463087 0.006324
0.471656 0.005169
0.479123 0.004152
0.485471 0.003280
0.490685 0.002560
0.494753 0.001994
0.497666 0.001587
0.499416 0.001342
0.5050000 0.000000
